,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Tubualá,9.52,-79.03,78.01,94,20,11.27,PA,1596086013
283,Bubaque,11.28,-15.83,78.75,84,100,16.6,GW,1596086013
284,Alofi,-19.06,-169.92,71.6,73,39,16.11,NU,1596086013
285,Eloy,32.76,-111.55,100.0,17,1,8.05,US,1596086014
286,Kapit,2.02,112.93,84.85,83,60,1.81,MY,1596086014
287,Plettenberg Bay,-34.05,23.37,57.9,70,18,11.1,ZA,1596086014
288,Bolotnoye,55.67,84.4,63.81,86,99,7.54,RU,1596086014
289,Chicama,-7.84,-79.15,59.81,83,15,3.11,PE,1596086015
290,Chapais,49.78,-74.85,60.8,87,90,2.24,CA,1596086015
291,Maragogi,-9.01,-35.22,72.37,78,3,9.26,BR,1596086015
292,Aklavik,68.22,-135.01,60.8,63,75,4.7,CA,1596086015
293,Brus Laguna,15.75,-84.48,76.39,97,72,1.83,HN,1596086016
294,Timizart,36.8,4.27,81.28,31,2,5.17,DZ,1596086016
295,Rassvet,46.83,40.75,80.24,36,0,5.14,RU,1596086016
296,Palmer,42.16,-72.33,69.01,88,75,5.82,US,1596086016
297,Vanimo,-2.67,141.3,85.33,67,46,8.75,PG,1596086017
298,Qeshm,26.96,56.27,100.4,53,18,2.24,IR,1596086017
299,Biltine,14.53,20.92,76.05,70,59,11.12,TD,1596086017
300,São Filipe,14.9,-24.5,76.59,86,88,8.61,CV,1596086017
301,La Ronge,55.1,-105.28,69.8,77,40,7.49,CA,1596086018
302,Mehamn,71.04,27.85,57.2,67,10,11.41,NO,1596086018
303,Tomatlán,19.93,-105.25,76.39,93,100,3.11,MX,1596086019
304,Hobyo,5.35,48.53,81.46,66,30,21.25,SO,1596086019
305,Saquarema,-22.92,-42.51,68.32,88,99,3.58,BR,1596085732
306,Mar del Plata,-38.0,-57.56,43.0,72,49,2.24,AR,1596086019
307,Labuan,5.28,115.24,84.2,83,40,6.93,MY,1596086020
308,Khammam,17.25,80.15,87.87,67,100,8.21,IN,1596086020
309,Tazovsky,67.47,78.7,59.49,53,59,5.06,RU,1596086020
310,Berëzovka,53.72,25.5,58.12,81,60,7.85,BY,1596085807
311,Port Victoria,0.09,33.98,68.36,82,97,9.46,KE,1596086021
312,Tuatapere,-46.13,167.68,53.46,73,100,6.06,NZ,1596085802
313,Leningradskiy,69.38,178.42,42.33,77,40,13.15,RU,1596086021
314,Hualmay,-11.1,-77.61,57.97,86,11,6.51,PE,1596086021
315,Visby,57.64,18.3,60.01,77,75,18.34,SE,1596086021
316,Lodwar,3.12,35.6,79.41,55,50,17.02,KE,1596086022
317,Kudahuvadhoo,2.67,72.89,83.79,76,95,18.1,MV,1596086022
318,Zhigansk,66.77,123.37,60.17,51,0,17.94,RU,1596086022
319,Cambuci,-21.58,-41.91,68.34,86,61,1.9,BR,1596086022
320,Cairns,-16.92,145.77,78.8,39,0,17.22,AU,1596085863
321,Tārūt,26.57,50.04,102.2,40,4,3.36,SA,1596086023
322,Kaz,52.91,87.31,57.49,94,100,7.99,RU,1596086023
323,Grindavik,63.84,-22.43,50.0,87,90,2.24,IS,1596086023
324,Los Llanos de Aridane,28.66,-17.92,73.4,69,75,13.87,ES,1596086024
325,Topchikha,52.82,83.12,64.4,68,40,13.42,RU,1596086024
326,Saraland,30.82,-88.07,78.01,92,100,4.0,US,1596086024
327,Talnakh,69.49,88.4,68.0,52,29,17.9,RU,1596086024
328,Atar,20.52,-13.05,78.04,54,11,7.7,MR,1596086025
329,Mezhdurechensk,53.69,88.06,58.62,93,100,8.14,RU,1596086025
330,Simav,39.09,28.98,77.0,36,0,10.29,TR,1596086026
331,Virginia Beach,36.85,-75.98,81.0,83,20,5.82,US,1596085964
332,Rawlins,41.79,-107.24,59.0,67,1,5.82,US,1596086026
333,Aswān,24.09,32.91,95.25,25,26,5.73,EG,1596086026
334,Zyryanka,65.75,150.85,55.2,45,99,14.0,RU,1596086027
335,Oranjemund,-28.55,16.43,53.47,73,0,6.15,NA,1596086027
336,Smithers,54.78,-127.17,64.4,68,75,1.36,CA,1596086027
337,Benjamin Constant,-4.38,-70.03,73.81,91,67,0.76,BR,1596086027
338,Oranjestad,12.52,-70.03,84.2,79,20,4.7,AW,1596085767
339,Nanortalik,60.14,-45.24,45.73,91,49,3.87,GL,1596086028
340,Necochea,-38.55,-58.74,33.01,90,86,1.99,AR,1596086028
341,Buxton,53.26,-1.91,55.99,85,97,5.73,GB,1596086028
342,Pakxan,18.38,103.66,97.0,53,18,1.95,LA,1596086029
343,Niquelândia,-14.47,-48.46,65.68,46,3,1.97,BR,1596086029
344,Vytegra,61.01,36.45,59.49,89,98,11.9,RU,1596086029
345,Nago,26.59,127.98,91.4,66,75,16.11,JP,1596086030
346,Praia da Vitória,38.73,-27.07,75.2,94,75,17.13,PT,1596086030
347,Bethel,41.37,-73.41,75.2,88,40,1.99,US,1596086030
348,Lagoa,39.05,-27.98,73.85,91,80,28.63,PT,1596086031
349,Nichelino,44.99,7.64,75.99,57,0,1.01,IT,1596086031
350,High Rock,26.62,-78.28,83.32,74,41,8.9,BS,1596086031
351,Coyhaique,-45.58,-72.07,30.2,86,100,3.36,CL,1596086032
352,Sampit,-2.53,112.95,89.35,49,74,5.68,ID,1596086032
353,Porto-Novo,6.5,2.6,75.2,94,40,6.93,BJ,1596086032
354,Guadalupe y Calvo,26.1,-106.97,56.61,92,93,1.32,MX,1596086032
355,Kakogawa,34.77,134.85,89.6,79,20,12.75,JP,1596086032
356,Dunedin,-45.87,170.5,48.99,84,100,8.99,NZ,1596086033
357,Kununurra,-15.77,128.73,84.2,13,0,12.75,AU,1596086033
358,Petropavlovsk-Kamchatskiy,53.05,158.65,73.4,49,83,11.18,RU,1596086033
359,Qaqortoq,60.72,-46.03,46.4,87,96,5.82,GL,1596086034
360,Sirte,31.21,16.59,77.92,79,0,6.55,LY,1596086034
361,Formosa do Rio Preto,-11.05,-45.19,65.95,60,5,1.99,BR,1596086034
362,Camargo,27.67,-105.17,80.42,47,15,10.92,MX,1596086035
363,Tochio-honchō,37.47,139.0,82.0,79,80,6.78,JP,1596086035
364,Aketi,2.74,23.78,69.39,94,81,0.38,CD,1596086035
365,Coahuayana Viejo,18.73,-103.68,79.0,80,100,2.71,MX,1596086035
366,Prymors'k,46.73,36.34,77.86,55,0,3.67,UA,1596086036
367,Mahajanga,-15.72,46.32,71.6,73,20,4.7,MG,1596086036
368,Martapura,-3.42,114.85,87.8,58,40,4.7,ID,1596086036
369,Krasnoborsk,61.56,45.93,59.7,96,100,5.88,RU,1596086036
370,San Quintín,30.48,-115.95,67.93,81,0,11.1,MX,1596086036
371,Denpasar,-8.65,115.22,82.4,74,40,19.46,ID,1596085867
372,Bulancak,40.94,38.23,77.0,69,20,2.24,TR,1596086037
373,Kieta,-6.22,155.63,84.36,76,99,5.59,PG,1596086037
374,Changchun,43.88,125.32,86.0,65,40,6.71,CN,1596086038
375,Kimbe,-5.55,150.14,87.22,71,45,5.37,PG,1596086038
376,Morros,-9.45,-46.3,74.3,52,59,2.48,BR,1596086038
377,Sur,22.57,59.53,95.58,48,88,2.91,OM,1596086038
378,Okitipupa,6.5,4.78,71.6,95,37,2.26,NG,1596086039
379,Berlevåg,70.86,29.09,53.6,81,66,16.11,NO,1596086039
380,Kristiansund,63.11,7.73,57.2,82,75,12.75,NO,1596085995
381,Panabá,21.28,-88.27,75.92,93,27,7.58,MX,1596086039
382,Airai,-8.93,125.41,72.73,45,46,4.18,TL,1596086040
383,Souillac,-20.52,57.52,73.4,73,40,11.41,MU,1596086040
384,Buchanan,5.88,-10.05,73.4,100,75,6.73,LR,1596086040
385,Salalah,17.02,54.09,82.4,88,90,8.05,OM,1596085947
386,Clyde River,70.47,-68.59,39.2,100,90,12.75,CA,1596086040
387,Rio Grande,-32.03,-52.1,44.53,76,0,0.69,BR,1596086041
388,Selenginsk,52.01,106.86,73.4,69,75,2.24,RU,1596086041
389,Yangi Marg`ilon,40.43,71.72,86.0,23,0,4.7,UZ,1596086041
390,Tigre,-34.43,-58.58,44.01,66,0,3.36,AR,1596086042
391,Hailar,49.2,119.7,82.26,44,69,5.32,CN,1596086042
392,Junction City,39.03,-96.83,75.2,94,90,3.02,US,1596086042
393,Hihyā,30.67,31.59,78.01,88,0,5.82,EG,1596086042
394,Riyadh,24.69,46.72,93.2,32,5,14.38,SA,1596085841
395,Eyl,7.98,49.82,84.54,58,2,22.19,SO,1596086043
396,Ulladulla,-35.35,150.47,62.6,48,40,8.05,AU,1596086043
397,Forio,40.73,13.86,79.0,79,0,4.43,IT,1596086044
398,Moa,20.66,-74.94,81.9,80,29,17.94,CU,1596086044
399,Tres Arroyos,-38.37,-60.28,37.87,76,30,10.13,AR,1596086044
400,Tsiroanomandidy,-18.77,46.03,66.72,80,30,1.01,MG,1596086044
401,Fomboni,-12.28,43.74,76.24,84,83,19.33,KM,1596086045
402,Atambua,-9.11,124.89,82.49,40,33,0.51,ID,1596086045
403,Westport,41.14,-73.36,78.8,83,20,4.7,US,1596086045
404,Severo-Kuril'sk,50.68,156.12,58.44,79,89,12.73,RU,1596086045
405,Engel-Yurt,43.33,46.36,73.4,83,15,2.24,RU,1596086045
406,Dahra,36.25,0.85,78.8,74,20,4.7,DZ,1596086046
407,Manaure,11.78,-72.44,80.51,83,85,6.29,CO,1596086046
408,Daru,-9.08,143.21,77.32,81,98,17.22,PG,1596086046
409,Phuket,8.0,98.25,88.0,74,20,4.7,TH,1596086046
410,Kirkenær,60.46,12.06,52.0,93,40,4.7,NO,1596086047
411,Ekibastuz,51.67,75.37,66.94,39,43,10.25,KZ,1596085982
412,Voi,-3.39,38.56,73.45,58,0,7.07,KE,1596086047
413,Maputo,-25.97,32.59,59.0,93,0,4.7,MZ,1596085876
414,Comodoro Rivadavia,-45.87,-67.5,35.6,74,45,8.05,AR,1596085924
415,Kismayo,-0.36,42.55,79.2,80,14,12.64,SO,1596086048
416,San Cristobal,7.77,-72.22,66.67,92,100,2.28,VE,1596086028
417,Alta Floresta,-9.88,-56.09,68.85,53,1,4.12,BR,1596086048
418,Shelekhov,52.21,104.1,71.6,73,75,2.24,RU,1596086049
419,Altay,47.87,88.12,74.64,27,87,13.24,CN,1596086049
420,Huancabamba,-5.24,-79.45,58.14,71,7,9.13,PE,1596086049
421,Asmara,15.33,38.93,57.54,91,99,8.61,ER,1596086049
422,Kalmunai,7.42,81.82,87.69,55,73,3.87,LK,1596086049
423,Matagami,49.75,-77.63,55.4,100,1,6.11,CA,1596086050
424,Ostrovnoy,68.05,39.51,52.97,77,15,16.8,RU,1596086050
425,Krasnyy Tkach,55.47,39.08,64.4,93,75,8.95,RU,1596086050
426,Oistins,13.07,-59.53,82.4,78,40,14.99,BB,1596085862
427,Saint-Joseph,-21.37,55.62,73.99,68,75,5.82,RE,1596086051
428,Northam,51.03,-4.22,55.0,91,28,5.99,GB,1596086051
429,Nemuro,43.32,145.57,80.6,57,40,13.87,JP,1596086052
430,Al Bardīyah,31.76,25.09,75.38,71,0,5.68,LY,1596086052
431,Caravelas,-17.71,-39.25,66.58,75,0,1.63,BR,1596086052
432,Balakhninskiy,58.01,114.28,69.1,67,100,1.59,RU,1596086052
433,Kuzovatovo,53.55,47.69,72.95,53,2,10.49,RU,1596086053
434,Ibimirim,-8.54,-37.69,64.09,93,24,9.89,BR,1596086053
435,Port Shepstone,-30.74,30.45,58.53,80,11,7.54,ZA,1596086053
436,Ellisras,-23.66,27.74,46.24,55,0,2.44,ZA,1596086053
437,Broome,42.25,-75.83,66.99,93,75,4.7,US,1596086053
438,Lavrentiya,65.58,-171.0,46.33,90,100,3.78,RU,1596086054
439,Bulgan,48.81,103.53,72.05,55,0,8.68,MN,1596086054
440,Honiara,-9.43,159.95,86.0,74,75,5.82,SB,1596086054
441,Sechura,-5.56,-80.82,61.9,79,0,9.64,PE,1596086054
442,Lahaina,20.88,-156.68,82.4,61,40,17.22,US,1596086055
443,Ust-Maya,60.42,134.53,73.29,31,0,9.95,RU,1596086055
444,Tamalameque,8.85,-73.81,76.87,88,86,0.81,CO,1596086055
445,Žiri,46.04,14.11,64.0,84,37,2.48,SI,1596086055
446,Stornoway,58.21,-6.39,51.8,81,20,4.7,GB,1596086056
447,Szigetvár,46.05,17.81,70.0,89,1,1.34,HU,1596086056
448,Ciudad Bolivar,8.12,-63.55,79.5,83,57,1.07,VE,1596086056
449,Kardamena,36.78,27.14,80.6,54,0,9.17,GR,1596086056
450,Weinan,34.5,109.51,89.01,66,0,8.95,CN,1596086057
451,Ixtapa,20.7,-105.2,77.0,100,90,3.36,MX,1596086057
452,Shumskiy,54.83,99.13,78.57,47,100,2.73,RU,1596086057
453,Khandyga,62.67,135.6,74.44,27,2,10.11,RU,1596086058
454,Alyangula,-13.85,136.42,82.4,42,0,8.05,AU,1596086059
455,Thabazimbi,-24.59,27.41,47.05,53,0,2.68,ZA,1596085888
456,São João da Barra,-21.64,-41.05,71.11,84,58,10.74,BR,1596086059
457,Richards Bay,-28.78,32.04,60.06,88,0,5.01,ZA,1596086059
458,Inhambane,-23.86,35.38,53.6,100,20,5.06,MZ,1596086060
459,Beringovskiy,63.05,179.32,53.89,83,90,9.57,RU,1596086060
460,Naze,28.37,129.48,89.6,74,75,8.05,JP,1596086060
461,Krasnosel'kup,65.7,82.47,69.24,51,42,10.47,RU,1596086060
462,Hasaki,35.73,140.83,79.0,88,75,5.82,JP,1596086060
463,Hargeisa,9.56,44.06,71.74,60,41,29.48,SO,1596086061
464,Rumoi,43.93,141.64,74.75,65,14,7.96,JP,1596086061
465,Oddur,4.12,43.89,74.73,74,24,17.43,SO,1596086061
466,Kasongo,-4.45,26.67,69.55,49,0,1.95,CD,1596086061
467,Kobryn,52.21,24.36,59.0,87,41,5.17,BY,1596086061
468,Sabha,27.04,14.43,75.38,39,0,12.15,LY,1596086062
469,Zemio,5.03,25.14,68.05,96,95,1.5,CF,1596086062
470,Vallenar,-28.57,-70.76,58.23,46,76,1.19,CL,1596086062
471,Ürümqi,43.8,87.6,68.0,68,40,11.18,CN,1596086062
472,Itarema,-2.92,-39.92,76.6,86,4,13.15,BR,1596086063
473,Derzhavīnsk,51.1,66.32,76.06,45,2,8.52,KZ,1596086063
474,Mariehamn,60.1,19.93,63.0,87,90,2.24,AX,1596086063
475,Kawakawa,-35.38,174.07,57.99,3,100,5.99,NZ,1596085860
476,Allāpalli,19.42,80.07,88.16,66,100,5.37,IN,1596086064
477,Sri Aman,1.24,111.46,82.4,83,40,4.7,MY,1596086064
478,Sneek,53.03,5.66,54.0,93,75,4.7,NL,1596086065
479,Xiongzhou,25.12,114.3,97.74,42,12,2.73,CN,1596086065
480,Luanda,-8.84,13.23,68.0,88,99,1.12,AO,1596086065
481,Kuril'sk,45.23,147.88,63.0,84,72,8.12,RU,1596086065
482,Iskateley,67.68,53.15,54.07,67,67,9.6,RU,1596086066
483,Vila do Maio,15.13,-23.22,76.73,88,100,12.57,CV,1596086066
484,Shingū,33.73,135.98,86.0,74,20,8.05,JP,1596086066
485,Methóni,36.82,21.7,82.99,47,0,3.94,GR,1596086066
486,San Andrés,12.58,-81.7,82.4,88,20,12.75,CO,1596086067
487,Andenes,69.31,16.12,64.4,77,97,6.93,NO,1596085868
488,Mount Isa,-20.73,139.5,78.8,19,0,11.41,AU,1596086067
489,Kalawit,8.07,122.52,85.57,73,95,10.38,PH,1596086067
490,Iralaya,15.0,-83.23,81.79,85,98,11.18,HN,1596086068
491,Gouré,13.98,10.27,80.01,75,78,3.0,NE,1596086068
492,Quesnel,53.0,-122.5,66.2,72,1,4.7,CA,1596085875
493,Santa Maria,-29.68,-53.81,38.01,91,0,6.08,BR,1596085840
494,Morgan City,29.7,-91.21,82.4,94,1,5.82,US,1596086068
495,Quatre Cocos,-20.21,57.76,73.99,73,40,11.41,MU,1596086069
496,Pitimbu,-7.47,-34.81,73.4,78,58,14.88,BR,1596086069
497,Aripuanã,-9.17,-60.63,71.53,52,2,2.35,BR,1596086069
498,Mosetse,-20.75,26.65,47.39,64,0,8.68,BW,1596086069
499,Uruçuí,-7.23,-44.56,79.11,47,96,9.22,BR,1596085865
500,Heřmanův Městec,49.95,15.66,55.99,87,28,2.24,CZ,1596086070
501,Mitsamiouli,-11.38,43.28,73.4,88,20,6.93,KM,1596086070
502,Alice Springs,-23.7,133.88,75.0,14,0,11.41,AU,1596086070
503,Wewak,-3.55,143.63,84.34,68,10,7.7,PG,1596086071
504,Pasni,25.26,63.47,84.74,83,53,9.19,PK,1596086071
505,Kamenka,51.32,42.77,79.0,46,85,3.0,RU,1596086071
506,Santa Rosa,14.31,121.11,87.8,66,100,8.05,PH,1596086071
507,Anadyr,64.75,177.48,53.6,87,90,2.24,RU,1596086071
508,Deputatsky,69.3,139.9,53.17,46,20,8.97,RU,1596086072
509,Beloha,-25.17,45.05,64.29,86,15,7.58,MG,1596086072
510,Santa Fe,-31.63,-60.7,45.0,77,0,3.0,AR,1596086072
511,Perth,-31.93,115.83,70.0,46,0,8.05,AU,1596086072
512,Jishou,28.32,109.72,90.5,60,64,3.69,CN,1596086073
513,Beyneu,45.32,55.2,72.73,51,61,13.71,KZ,1596086073
514,Nālūt,30.33,10.85,71.35,61,0,15.61,LY,1596086073
515,Wallacetown,-46.33,168.27,52.83,78,100,2.95,NZ,1596086073
516,Xique-Xique,-10.82,-42.73,70.86,66,0,14.09,BR,1596086074
517,Dubovyy Umët,52.98,50.29,77.0,47,27,4.47,RU,1596086074
518,Ligayan,4.65,119.47,84.36,77,100,18.52,PH,1596086074
519,Pergamino,-33.89,-60.57,41.0,62,0,1.99,AR,1596086074
520,Lundazi,-12.29,33.18,58.91,77,31,6.89,ZM,1596086075
521,Verkhnevilyuysk,63.45,120.32,68.67,38,88,5.17,RU,1596086075
522,Carutapera,-1.2,-46.02,74.14,93,15,1.12,BR,1596086075
523,Meadow Lake,34.8,-106.54,82.4,41,1,6.93,US,1596086075
524,Thunder Bay,48.4,-89.32,64.4,82,75,4.7,CA,1596086016
525,Svobodnyy,51.4,128.13,87.67,48,3,8.72,RU,1596086076
526,Bara,10.37,10.73,72.39,95,59,11.36,NG,1596086076
527,Nabire,-3.37,135.48,86.23,63,34,5.99,ID,1596086076
528,Praia,14.92,-23.51,77.45,83,98,7.23,CV,1596086076
529,Arrondissement de Bastia,42.67,9.33,77.0,88,20,3.36,FR,1596086077
530,Zharkent,44.16,80.0,78.49,34,0,3.11,KZ,1596086077
531,Buin,-33.73,-70.75,44.6,70,0,2.24,CL,1596086077
532,Biak,-0.91,122.88,74.34,83,100,8.01,ID,1596086077
533,Tongchuanshi,35.08,109.09,85.08,48,13,7.96,CN,1596086078
534,Winterberg,51.2,8.53,48.2,93,50,2.24,DE,1596086078
535,Povenets,62.85,34.83,62.46,91,97,4.52,RU,1596086078
536,Liwale,-9.77,37.93,66.56,74,0,7.67,TZ,1596086078
537,Marzuq,14.4,46.47,79.88,52,32,6.24,YE,1596086079
538,Gagarin,55.55,35.0,59.86,88,1,9.33,RU,1596086079
539,Say,13.1,2.37,80.6,78,0,8.05,NE,1596086079
540,Río Gallegos,-51.62,-69.22,30.2,92,19,4.7,AR,1596086080
541,Port Hardy,50.7,-127.42,62.6,67,20,4.7,CA,1596086080
542,Timbiquí,2.77,-77.67,75.02,94,97,3.49,CO,1596086080
543,Price,39.6,-110.81,75.2,23,1,6.15,US,1596086080
544,Tsumeb,-19.23,17.72,50.16,44,0,8.99,NA,1596086080
545,Rundu,-17.93,19.77,47.17,52,0,5.82,NA,1596086081
546,Tarko-Sale,64.92,77.78,63.91,54,27,9.42,RU,1596086081
547,Nova Olímpia,-14.8,-57.29,60.67,69,0,3.78,BR,1596086081
548,Wad Medani,14.4,33.52,79.84,67,75,15.46,SD,1596086081
549,Kenai,60.55,-151.26,66.2,77,1,10.29,US,1596086082
550,Ocampo,21.65,-101.5,60.24,87,100,5.19,MX,1596086082
551,Tegul'det,57.31,88.17,67.14,87,67,6.8,RU,1596086082
552,Teya,60.38,92.63,77.38,44,58,9.84,RU,1596086083
553,Poções,-14.53,-40.37,55.24,98,14,3.51,BR,1596086083
554,Horadiz,39.45,47.34,77.0,65,75,16.11,AZ,1596086083
555,Ponta Delgada,37.73,-25.67,71.6,94,75,12.75,PT,1596085946
556,Abilene,32.45,-99.73,82.99,61,1,6.93,US,1596086084
557,Bon Accord,53.83,-113.42,72.0,98,100,4.0,CA,1596086084
558,Norman Wells,65.28,-126.83,62.6,72,90,8.05,CA,1596086084
559,Willowmore,-33.29,23.49,40.23,84,0,3.4,ZA,1596086084
560,Carballo,43.21,-8.69,64.99,100,0,2.46,ES,1596086085
561,Bendigo,-36.77,144.28,55.99,56,0,1.99,AU,1596086085
562,Bozoum,6.32,16.38,67.69,97,100,1.45,CF,1596086085
563,Kolosovka,56.47,73.61,64.33,51,19,5.64,RU,1596086086
564,Nampula,-15.12,39.27,62.6,93,20,5.82,MZ,1596086086
